id;account_id;occurred_at;standard_qty;gloss_qty;poster_qty;total;standard_amt_usd;gloss_amt_usd;poster_amt_usd;total_amt_usd
30;1051;2016-10-01T00:48:28.000Z;486;0;1;487;2425;0;8;2433
31;1051;2016-10-31T06:47:30.000Z;505;71;19;595;2520;532;154;3206
32;1051;2016-11-30T07:31:16.000Z;490;18;0;508;2445;135;0;2580
33;1051;2016-12-30T08:45:43.000Z;495;1;1;497;2470;7;8;2486
34;1061;2016-10-19T16:04:11.000Z;290;52;23;365;1447;389;187;2023
35;1061;2016-11-17T08:43:27.000Z;249;3;17;269;1243;22;138;1403
36;1061;2016-12-16T21:32:36.000Z;290;22;18;330;1447;165;146;1758
37;1071;2016-12-13T09:01:03.000Z;803;31;19;853;4007;232;154;4393
38;1081;2015-02-12T22:57:54.000Z;283;61;23;367;1412;457;187;2056
39;1081;2015-03-13T09:48:32.000Z;309;0;25;334;1542;0;203;1745
40;1081;2015-04-12T04:38:22.000Z;292;30;11;333;1457;225;89;1771
41;1081;2015-05-12T23:20:46.000Z;273;30;19;322;1362;225;154;1741
42;1081;2015-06-11T13:43:57.000Z;291;36;62;389;1452;270;503;2225
43;1081;2015-07-11T23:17:32.000Z;433;18;73;524;2161;135;593;2888
44;1081;2015-08-09T18:29:20.000Z;297;24;9;330;1482;180;73;1735
45;1081;2015-09-07T15:35:21.000Z;293;30;20;343;1462;225;162;1849
46;1081;2015-11-06T04:19:20.000Z;321;38;16;375;1602;285;130;2016
47;1081;2015-12-05T21:51:34.000Z;311;31;7;349;1552;232;57;1841
48;1081;2016-01-03T23:21:47.000Z;314;20;208;542;1567;150;1689;3406
49;1081;2016-02-01T20:00:37.000Z;298;26;25;349;1487;195;203;1885
50;1081;2016-03-02T06:07:31.000Z;270;40;31;341;1347;300;252;1899
51;1081;2016-04-30T07:46:13.000Z;501;26;15;542;2500;195;122;2817
52;1081;2016-05-30T04:02:38.000Z;273;74;29;376;1362;554;235;2152
53;1081;2016-06-28T06:18:20.000Z;328;25;21;374;1637;187;171;1994
54;1081;2016-07-28T22:48:55.000Z;302;54;19;375;1507;404;154;2066
55;1081;2016-08-26T16:47:57.000Z;272;25;30;327;1357;187;244;1788
56;1081;2016-09-24T09:47:30.000Z;319;45;101;465;1592;337;820;2749
57;1081;2016-10-24T21:46:10.000Z;303;28;0;331;1512;210;0;1722
58;1081;2016-11-23T04:38:57.000Z;334;25;20;379;1667;187;162;2016
59;1081;2016-12-23T13:19:56.000Z;293;29;0;322;1462;217;0;1679
60;1091;2014-08-15T05:38:05.000Z;150;0;19;169;749;0;154;903
61;1091;2014-09-13T05:11:21.000Z;150;28;16;194;749;210;130;1088
62;1091;2014-10-13T12:12:55.000Z;146;196;3;345;729;1468;24;2221
63;1091;2014-11-12T06:54:10.000Z;146;10;17;173;729;75;138;941
64;1091;2014-12-11T10:36:32.000Z;261;25;13;299;1302;187;106;1595
65;1091;2015-01-09T14:16:50.000Z;148;15;92;255;739;112;747;1598
66;1091;2015-02-08T10:01:50.000Z;132;14;10;156;659;105;81;845
67;1091;2015-04-07T13:29:20.000Z;95;0;0;95;474;0;0;474
68;1091;2015-06-05T19:18:24.000Z;150;0;11;161;749;0;89;838
69;1091;2015-07-05T02:45:54.000Z;145;0;9;154;724;0;73;797
70;1091;2015-08-03T12:02:33.000Z;122;5;0;127;609;37;0;646
71;1091;2015-09-01T14:30:59.000Z;150;19;21;190;749;142;171;1061
72;1091;2015-10-01T15:53:49.000Z;163;25;0;188;813;187;0;1001
73;1091;2015-10-31T16:07:00.000Z;135;0;8;143;674;0;65;739
74;1091;2015-11-29T21:32:47.000Z;162;13;0;175;808;97;0;906
75;1091;2015-12-28T18:48:29.000Z;144;10;17;171;719;75;138;932
76;1091;2016-01-26T06:32:50.000Z;153;0;69;222;763;0;560;1324
77;1091;2016-02-25T07:04:29.000Z;144;5;19;168;719;37;154;910
78;1091;2016-03-25T22:26:45.000Z;99;0;33;132;494;0;268;762
79;1091;2016-04-24T07:33:58.000Z;145;0;15;160;724;0;122;845
80;1091;2016-05-23T07:40:57.000Z;156;0;11;167;778;0;89;868
81;1091;2016-06-22T01:09:48.000Z;149;8;0;157;744;60;0;803
82;1091;2016-07-21T18:51:18.000Z;148;0;50;198;739;0;406;1145
83;1091;2016-08-20T04:50:59.000Z;137;12;6;155;684;90;49;822
84;1091;2016-09-18T20:57:59.000Z;172;0;15;187;858;0;122;980
85;1091;2016-10-17T13:31:48.000Z;146;10;0;156;729;75;0;803
86;1091;2016-11-15T18:16:13.000Z;254;2;5;261;1267;15;41;1323
87;1091;2016-12-14T21:26:59.000Z;153;0;13;166;763;0;106;869
88;1101;2015-06-24T13:08:15.000Z;182;339;17;538;908;2539;138;3585
89;1101;2015-08-22T19:40:36.000Z;175;20;19;214;873;150;154;1177
90;1101;2015-09-21T05:12:37.000Z;139;0;0;139;694;0;0;694
91;1101;2015-10-21T16:35:51.000Z;148;0;17;165;739;0;138;877
92;1101;2015-11-21T00:11:01.000Z;155;5;34;194;773;37;276;1087
93;1101;2015-12-19T18:36:08.000Z;158;52;2;212;788;389;16;1194
94;1101;2016-01-17T14:32:49.000Z;149;11;6;166;744;82;49;875
95;1101;2016-02-15T07:57:58.000Z;168;1;2;171;838;7;16;862
96;1101;2016-03-15T11:36:03.000Z;14;8;16;38;70;60;130;260
97;1101;2016-04-14T00:14:37.000Z;160;16;0;176;798;120;0;918
98;1101;2016-05-13T02:19:44.000Z;163;16;22;201;813;120;179;1112
99;1101;2016-06-12T12:56:04.000Z;150;0;12;162;749;0;97;846
100;1111;2015-11-15T17:49:49.000Z;301;77;23;401;1502;577;187;2265
101;1111;2015-12-15T22:02:35.000Z;349;41;0;390;1742;307;0;2049
102;1121;2015-08-26T00:32:35.000Z;293;33;11;337;1462;247;89;1799
103;1121;2015-09-25T13:56:00.000Z;298;64;0;362;1487;479;0;1966
104;1121;2015-10-24T15:43:59.000Z;298;72;27;397;1487;539;219;2246
105;1121;2015-11-22T17:26:40.000Z;331;32;10;373;1652;240;81;1973
106;1121;2015-12-21T01:14:30.000Z;291;0;16;307;1452;0;130;1582
107;1121;2016-01-20T15:31:29.000Z;200;38;22;260;998;285;179;1461
108;1121;2016-02-19T18:07:00.000Z;284;48;7;339;1417;360;57;1834
109;1121;2016-03-19T07:18:30.000Z;294;26;0;320;1467;195;0;1662
110;1121;2016-04-18T15:26:58.000Z;298;0;21;319;1487;0;171;1658
111;1121;2016-05-17T13:18:04.000Z;304;40;26;370;1517;300;211;2028
112;1121;2016-07-15T03:35:43.000Z;294;19;13;326;1467;142;106;1715
113;1121;2016-08-13T20:41:27.000Z;302;14;0;316;1507;105;0;1612
114;1121;2016-09-11T23:20:42.000Z;305;19;0;324;1522;142;0;1664
115;1121;2016-10-10T10:54:31.000Z;303;30;133;466;1512;225;1080;2817
116;1121;2016-11-08T02:29:47.000Z;294;23;47;364;1467;172;382;2021
117;1121;2016-12-07T18:48:16.000Z;321;38;9;368;1602;285;73;1959
118;1131;2016-05-13T06:54:10.000Z;377;8;32;417;1881;60;260;2201
119;1131;2016-06-12T12:29:45.000Z;0;30;23;53;0;225;187;411
120;1131;2016-07-12T00:17:14.000Z;296;32;22;350;1477;240;179;1895
121;1131;2016-08-10T23:47:41.000Z;273;134;0;407;1362;1004;0;2366
122;1131;2016-09-09T17:07:16.000Z;310;21;0;331;1547;157;0;1704
123;1131;2016-10-09T15:13:25.000Z;307;20;38;365;1532;150;309;1990
124;1131;2016-11-07T05:10:56.000Z;0;0;0;0;0;0;0;0
125;1131;2016-12-07T06:28:31.000Z;303;28;0;331;1512;210;0;1722
126;1141;2016-09-24T03:35:17.000Z;193;0;0;193;963;0;0;963
127;1141;2016-10-23T20:29:12.000Z;174;0;34;208;868;0;276;1144
128;1141;2016-11-22T20:51:49.000Z;150;0;7;157;749;0;57;805
129;1141;2016-12-21T15:52:58.000Z;143;1045;2157;3345;714;7827;17515;26055
130;1151;2016-12-30T05:02:46.000Z;503;0;56;559;2510;0;455;2965
131;1161;2016-03-06T03:01:33.000Z;366;35;13;414;1826;262;106;2194
132;1161;2016-04-05T22:03:16.000Z;518;10;8;536;2585;75;65;2725
133;1161;2016-05-05T10:04:06.000Z;495;37;0;532;2470;277;0;2747
134;1161;2016-06-04T09:20:44.000Z;497;99;22;618;2480;742;179;3400
135;1161;2016-07-03T10:40:49.000Z;511;0;13;524;2550;0;106;2655
136;1161;2016-08-01T17:54:19.000Z;495;0;28;523;2470;0;227;2697
137;1161;2016-08-31T03:20:24.000Z;458;2;27;487;2285;15;219;2520
138;1161;2016-09-29T07:56:39.000Z;423;10;21;454;2111;75;171;2356
139;1161;2016-10-28T07:33:35.000Z;501;7;0;508;2500;52;0;2552
140;1161;2016-11-26T12:57:21.000Z;427;16;16;459;2131;120;130;2380
141;1161;2016-12-25T20:33:25.000Z;509;7;6;522;2540;52;49;2641
142;1171;2016-08-24T20:41:08.000Z;332;32;13;377;1657;240;106;2002
143;1171;2016-09-23T03:36:03.000Z;298;0;66;364;1487;0;536;2023
144;1171;2016-10-22T17:50:39.000Z;288;22;26;336;1437;165;211;1813
145;1171;2016-11-20T03:49:54.000Z;271;29;26;326;1352;217;211;1781
146;1171;2016-12-20T18:09:01.000Z;257;34;63;354;1282;255;512;2049
147;1181;2013-12-17T23:02:57.000Z;339;0;0;339;1692;0;0;1692
148;1181;2014-01-16T12:41:35.000Z;511;1;27;539;2550;7;219;2777
149;1181;2014-02-14T08:36:49.000Z;487;3;19;509;2430;22;154;2607
150;1181;2014-03-16T04:54:17.000Z;481;14;15;510;2400;105;122;2627
151;1181;2014-04-14T13:50:32.000Z;505;0;99;604;2520;0;804;3324
152;1181;2014-05-14T05:25:30.000Z;504;54;0;558;2515;404;0;2919
153;1181;2014-06-13T09:44:25.000Z;510;7;0;517;2545;52;0;2597
154;1181;2014-07-13T15:36:01.000Z;493;0;0;493;2460;0;0;2460
155;1181;2014-08-12T04:53:21.000Z;493;0;18;511;2460;0;146;2606
156;1181;2014-09-10T19:12:10.000Z;501;19;0;520;2500;142;0;2642
157;1181;2014-10-10T14:13:28.000Z;498;46;22;566;2485;345;179;3008
158;1181;2014-11-09T22:03:16.000Z;706;13;3;722;3523;97;24;3645
159;1181;2014-12-09T12:46:46.000Z;476;0;4;480;2375;0;32;2408
160;1181;2015-01-08T07:23:41.000Z;476;0;2;478;2375;0;16;2391
161;1181;2015-02-06T13:29:48.000Z;510;2;12;524;2545;15;97;2657
162;1181;2015-03-08T06:05:39.000Z;484;0;35;519;2415;0;284;2699
163;1181;2015-04-06T03:14:32.000Z;489;1;9;499;2440;7;73;2521
164;1181;2015-05-06T13:45:56.000Z;508;21;0;529;2535;157;0;2692
165;1181;2015-06-05T17:35:06.000Z;511;11;0;522;2550;82;0;2632
166;1181;2015-07-04T20:58:59.000Z;491;0;0;491;2450;0;0;2450
167;1181;2015-08-03T18:02:01.000Z;500;0;8;508;2495;0;65;2560
168;1181;2015-09-01T09:08:48.000Z;507;12;0;519;2530;90;0;2620
169;1181;2015-10-01T22:44:46.000Z;477;27;26;530;2380;202;211;2794
170;1181;2015-10-31T08:48:08.000Z;535;8;0;543;2670;60;0;2730
171;1181;2015-11-29T06:01:34.000Z;470;21;3;494;2345;157;24;2527
172;1181;2015-12-28T11:30:53.000Z;459;18;16;493;2290;135;130;2555
173;1181;2016-01-26T19:59:47.000Z;496;4;0;500;2475;30;0;2505
174;1181;2016-02-25T17:33:00.000Z;495;15;4;514;2470;112;32;2615
175;1181;2016-03-25T19:26:28.000Z;471;0;8;479;2350;0;65;2415
176;1181;2016-04-24T16:47:51.000Z;2188;50;12;2250;10918;375;97;11390
177;1181;2016-05-23T02:53:33.000Z;514;19;0;533;2565;142;0;2707
178;1181;2016-06-22T05:29:19.000Z;492;4;0;496;2455;30;0;2485
179;1181;2016-07-21T15:00:45.000Z;495;30;5;530;2470;225;41;2735
180;1181;2016-08-19T22:44:43.000Z;504;13;23;540;2515;97;187;2799
181;1181;2016-09-18T09:07:46.000Z;504;10;0;514;2515;75;0;2590
182;1181;2016-10-18T09:56:10.000Z;507;14;20;541;2530;105;162;2797
183;1181;2016-11-17T09:12:10.000Z;509;13;76;598;2540;97;617;3254
184;1181;2016-12-17T22:14:14.000Z;428;0;22;450;2136;0;179;2314
185;1191;2016-01-24T19:29:16.000Z;502;0;17;519;2505;0;138;2643
186;1191;2016-02-23T10:30:36.000Z;485;18;17;520;2420;135;138;2693
187;1191;2016-03-23T21:33:31.000Z;485;134;0;619;2420;1004;0;3424
188;1191;2016-04-22T03:09:53.000Z;497;23;11;531;2480;172;89;2742
189;1191;2016-05-21T23:11:38.000Z;500;0;3;503;2495;0;24;2519
190;1191;2016-06-20T21:28:14.000Z;500;7;1;508;2495;52;8;2556
191;1191;2016-07-19T07:24:11.000Z;506;0;12;518;2525;0;97;2622
192;1191;2016-08-18T16:04:15.000Z;496;30;0;526;2475;225;0;2700
193;1191;2016-09-17T05:09:45.000Z;529;67;0;596;2640;502;0;3142
194;1191;2016-10-16T19:29:55.000Z;471;0;10;481;2350;0;81;2431
195;1191;2016-11-15T20:44:15.000Z;494;0;5;499;2465;0;41;2506
196;1191;2016-12-15T20:49:47.000Z;0;171;24;195;0;1281;195;1476
197;1201;2016-11-12T11:54:43.000Z;491;0;0;491;2450;0;0;2450
198;1201;2016-12-11T05:51:52.000Z;510;0;11;521;2545;0;89;2634
199;1211;2016-11-22T08:08:54.000Z;259;29;23;311;1292;217;187;1696
200;1211;2016-12-21T23:39:04.000Z;311;22;10;343;1552;165;81;1798
201;1221;2015-01-20T10:54:29.000Z;491;14;0;505;2450;105;0;2555
202;1221;2015-02-18T15:41:25.000Z;532;0;104;636;2655;0;844;3499
203;1221;2015-03-19T12:18:21.000Z;508;0;11;519;2535;0;89;2624
204;1221;2015-04-17T11:41:57.000Z;515;0;24;539;2570;0;195;2765
205;1221;2015-05-16T19:44:32.000Z;336;14;18;368;1677;105;146;1928
206;1221;2015-06-15T08:14:22.000Z;533;0;32;565;2660;0;260;2920
207;1221;2015-07-15T07:36:48.000Z;501;0;34;535;2500;0;276;2776
208;1221;2015-08-14T09:55:14.000Z;464;0;23;487;2315;0;187;2502
209;1221;2015-09-12T17:54:40.000Z;531;0;10;541;2650;0;81;2731
210;1221;2015-10-11T13:32:14.000Z;492;12;22;526;2455;90;179;2724
211;1221;2015-11-09T23:30:42.000Z;497;0;17;514;2480;0;138;2618
212;1221;2015-12-08T16:38:40.000Z;583;0;0;583;2909;0;0;2909
213;1221;2016-01-06T20:57:34.000Z;660;6;17;683;3293;45;138;3476
214;1221;2016-02-04T20:17:54.000Z;485;1345;21;1851;2420;10074;171;12665
215;1221;2016-03-04T19:49:15.000Z;512;0;3;515;2555;0;24;2579
216;1221;2016-04-03T19:34:42.000Z;542;20;0;562;2705;150;0;2854
217;1221;2016-05-03T07:17:08.000Z;500;0;35;535;2495;0;284;2779
218;1221;2016-06-01T21:34:56.000Z;504;20;113;637;2515;150;918;3582
219;1221;2016-06-30T15:16:45.000Z;496;0;78;574;2475;0;633;3108
220;1221;2016-07-29T23:05:35.000Z;496;5;9;510;2475;37;73;2586
221;1221;2016-08-27T08:04:03.000Z;510;0;0;510;2545;0;0;2545
222;1221;2016-09-26T18:25:38.000Z;495;16;11;522;2470;120;89;2679
223;1221;2016-10-26T08:45:50.000Z;494;10;0;504;2465;75;0;2540
224;1221;2016-11-25T08:10:12.000Z;501;114;7;622;2500;854;57;3411
225;1221;2016-12-24T21:14:21.000Z;510;9;39;558;2545;67;317;2929
226;1231;2016-02-26T03:23:36.000Z;485;7;0;492;2420;52;0;2473
227;1231;2016-03-27T11:31:53.000Z;715;29;12;756;3568;217;97;3883
228;1231;2016-04-26T17:01:44.000Z;522;9;7;538;2605;67;57;2729
229;1231;2016-05-26T17:41:23.000Z;498;9;4;511;2485;67;32;2585
230;1231;2016-07-24T06:33:56.000Z;508;0;24;532;2535;0;195;2730
231;1231;2016-08-23T15:37:48.000Z;497;14;96;607;2480;105;780;3364
232;1231;2016-09-23T00:10:40.000Z;498;14;19;531;2485;105;154;2744
233;1231;2016-10-21T22:54:32.000Z;477;11;1;489;2380;82;8;2471
234;1231;2016-11-20T15:16:58.000Z;505;0;1355;1860;2520;0;11003;13523
235;1231;2016-12-20T14:07:59.000Z;502;0;0;502;2505;0;0;2505
236;1241;2016-06-14T11:18:07.000Z;132;24;0;156;659;180;0;838
237;1241;2016-07-13T13:16:49.000Z;259;13;0;272;1292;97;0;1390
238;1241;2016-08-11T02:41:45.000Z;150;36;4;190;749;270;32;1051
239;1241;2016-09-09T18:13:45.000Z;165;13;0;178;823;97;0;921
240;1241;2016-10-08T11:09:21.000Z;147;12;99;258;734;90;804;1627
241;1241;2016-11-07T06:24:11.000Z;155;12;6;173;773;90;49;912
242;1241;2016-12-06T15:03:16.000Z;136;0;34;170;679;0;276;955
243;1251;2013-12-11T20:36:06.000Z;86;39;34;159;429;292;276;997
244;1251;2014-01-09T04:41:26.000Z;126;34;30;190;629;255;244;1127
245;1251;2014-02-07T21:05:25.000Z;94;24;25;143;469;180;203;852
246;1251;2014-03-08T06:23:33.000Z;86;34;24;144;429;255;195;879
247;1251;2014-04-07T10:57:41.000Z;101;28;20;149;504;210;162;876
248;1251;2014-05-07T21:11:36.000Z;80;90;28;198;399;674;227;1301
249;1251;2014-06-06T16:12:08.000Z;159;41;35;235;793;307;284;1385
250;1251;2014-07-05T04:17:47.000Z;100;28;42;170;499;210;341;1050
251;1251;2014-08-04T19:32:29.000Z;92;31;22;145;459;232;179;870
252;1251;2014-09-03T12:48:55.000Z;102;41;30;173;509;307;244;1060
253;1251;2014-10-02T23:07:32.000Z;97;30;13;140;484;225;106;814
254;1251;2014-11-01T02:15:24.000Z;0;0;17;17;0;0;138;138
255;1251;2014-12-01T09:31:47.000Z;101;21;24;146;504;157;195;856
256;1251;2014-12-30T02:30:01.000Z;336;52;12;400;1677;389;97;2164
257;1251;2015-01-28T10:17:39.000Z;135;34;68;237;674;255;552;1480
258;1261;2014-11-12T22:21:40.000Z;315;39;18;372;1572;292;146;2010
259;1261;2014-12-11T02:34:12.000Z;298;30;25;353;1487;225;203;1915
260;1261;2015-01-09T06:43:47.000Z;462;34;34;530;2305;255;276;2836
261;1261;2015-02-07T18:03:12.000Z;309;0;12;321;1542;0;97;1639
262;1261;2015-03-08T16:12:33.000Z;277;566;35;878;1382;4239;284;5906
263;1261;2015-04-07T13:09:41.000Z;311;28;6;345;1552;210;49;1810
264;1261;2015-05-06T17:37:10.000Z;314;38;0;352;1567;285;0;1851
265;1261;2015-06-04T01:49:55.000Z;361;37;38;436;1801;277;309;2387
266;1261;2015-07-03T18:18:41.000Z;308;24;5;337;1537;180;41;1757
267;1261;2015-08-02T23:28:52.000Z;311;44;28;383;1552;330;227;2109
268;1261;2015-08-31T20:40:53.000Z;241;89;0;330;1203;667;0;1869
269;1261;2015-09-29T11:40:31.000Z;298;9;0;307;1487;67;0;1554
270;1261;2015-10-29T03:45:08.000Z;295;105;0;400;1472;786;0;2259
271;1261;2015-11-27T01:54:14.000Z;293;38;28;359;1462;285;227;1974
272;1261;2015-12-27T19:08:47.000Z;304;24;31;359;1517;180;252;1948
273;1261;2016-01-26T03:36:10.000Z;306;24;1;331;1527;180;8;1715
274;1261;2016-02-25T13:09:22.000Z;48;27;25;100;240;202;203;645
275;1261;2016-03-26T09:17:30.000Z;248;43;15;306;1238;322;122;1681
276;1261;2016-04-24T02:27:52.000Z;310;67;28;405;1547;502;227;2276
277;1261;2016-05-23T18:13:17.000Z;286;13;47;346;1427;97;382;1906
278;1261;2016-06-22T02:13:56.000Z;303;28;25;356;1512;210;203;1925
279;1261;2016-07-21T09:23:06.000Z;328;55;0;383;1637;412;0;2049
280;1261;2016-08-19T12:09:31.000Z;280;0;14;294;1397;0;114;1511
281;1261;2016-09-18T04:02:28.000Z;304;0;14;318;1517;0;114;1631
282;1261;2016-10-17T08:27:40.000Z;330;68;7;405;1647;509;57;2213
283;1261;2016-11-15T19:14:01.000Z;288;2;47;337;1437;15;382;1834
284;1261;2016-12-15T05:00:47.000Z;286;71;32;389;1427;532;260;2219
285;1271;2015-10-28T12:07:44.000Z;94;7;38;139;469;52;309;830
286;1271;2015-11-26T06:17:51.000Z;104;20;55;179;519;150;447;1115
287;1281;2013-12-05T20:33:56.000Z;492;73;0;565;2455;547;0;3002
288;1281;2014-01-03T23:56:43.000Z;491;14;0;505;2450;105;0;2555
289;1281;2014-02-02T04:00:37.000Z;531;5;211;747;2650;37;1713;4400
290;1281;2014-03-03T07:53:36.000Z;509;133;222;864;2540;996;1803;5339
291;1281;2014-04-01T11:34:26.000Z;254;0;17;271;1267;0;138;1406
292;1281;2014-05-01T22:00:28.000Z;513;85;4;602;2560;637;32;3229
293;1281;2014-05-30T22:54:02.000Z;511;19;0;530;2550;142;0;2692
294;1281;2014-06-29T21:40:15.000Z;448;7;0;455;2236;52;0;2288
295;1281;2014-07-28T16:42:00.000Z;508;6;9;523;2535;45;73;2653
296;1281;2014-08-26T21:48:16.000Z;645;0;0;645;3219;0;0;3219
297;1281;2014-09-25T04:37:33.000Z;489;8;545;1042;2440;60;4425;6925
298;1281;2014-10-25T07:35:18.000Z;491;6;0;497;2450;45;0;2495
299;1281;2014-11-24T16:30:33.000Z;468;10;0;478;2335;75;0;2410
300;1281;2014-12-24T08:09:12.000Z;665;23;0;688;3318;172;0;3491
301;1281;2015-01-23T07:36:27.000Z;515;342;26;883;2570;2562;211;5343
302;1281;2015-02-22T03:25:38.000Z;465;0;27;492;2320;0;219;2540
303;1281;2015-03-24T15:55:32.000Z;478;18;21;517;2385;135;171;2691
304;1281;2015-04-23T16:21:49.000Z;500;27;0;527;2495;202;0;2697
305;1281;2015-05-22T01:57:26.000Z;483;24;75;582;2410;180;609;3199
306;1281;2015-06-20T18:25:48.000Z;491;0;1;492;2450;0;8;2458
307;1281;2015-07-20T00:50:25.000Z;499;7;83;589;2490;52;674;3216
308;1281;2015-08-19T13:27:11.000Z;485;0;0;485;2420;0;0;2420
309;1281;2015-09-18T08:01:48.000Z;477;14;0;491;2380;105;0;2485
310;1281;2015-10-18T00:55:25.000Z;509;94;148;751;2540;704;1202;4446
311;1281;2015-11-16T17:35:25.000Z;473;20;10;503;2360;150;81;2591
312;1281;2015-12-16T16:50:47.000Z;517;22;52;591;2580;165;422;3167
313;1281;2016-01-15T07:20:05.000Z;487;18;30;535;2430;135;244;2809
314;1281;2016-02-13T23:55:39.000Z;475;5;0;480;2370;37;0;2408
315;1281;2016-03-14T21:45:25.000Z;517;0;12;529;2580;0;97;2677
316;1281;2016-04-13T12:22:51.000Z;501;0;0;501;2500;0;0;2500
317;1281;2016-05-13T09:25:25.000Z;475;0;100;575;2370;0;812;3182
318;1281;2016-06-12T17:59:07.000Z;495;6;0;501;2470;45;0;2515
319;1281;2016-07-12T19:42:31.000Z;563;0;56;619;2809;0;455;3264
320;1281;2016-08-11T04:00:37.000Z;3337;1729;12;5078;16652;12950;97;29699
321;1281;2016-09-10T15:01:06.000Z;489;1;27;517;2440;7;219;2667
322;1281;2016-10-09T21:10:52.000Z;478;44;203;725;2385;330;1648;4363
323;1281;2016-11-08T15:27:50.000Z;483;39;0;522;2410;292;0;2702
324;1281;2016-12-08T10:14:58.000Z;512;0;26;538;2555;0;211;2766
325;1291;2015-05-06T01:44:14.000Z;1055;32;18;1105;5264;240;146;5650
326;1291;2015-06-04T15:20:07.000Z;293;70;29;392;1462;524;235;2222
327;1291;2015-07-04T19:08:36.000Z;303;20;36;359;1512;150;292;1954
328;1291;2015-08-03T08:35:23.000Z;0;19;21;40;0;142;171;313
329;1291;2015-09-01T16:40:39.000Z;220;6;104;330;1098;45;844;1987
330;1291;2015-10-01T07:40:48.000Z;311;28;0;339;1552;210;0;1762
331;1291;2015-10-30T03:01:06.000Z;304;58;0;362;1517;434;0;1951
332;1291;2015-11-28T17:10:48.000Z;294;18;29;341;1467;135;235;1837
333;1291;2015-12-27T05:37:08.000Z;286;28;14;328;1427;210;114;1751
334;1291;2016-01-26T18:37:25.000Z;324;41;32;397;1617;307;260;2184
335;1291;2016-02-25T09:34:56.000Z;301;42;26;369;1502;315;211;2028
336;1291;2016-03-25T09:25:51.000Z;296;100;11;407;1477;749;89;2315
337;1291;2016-04-23T16:08:40.000Z;294;1;14;309;1467;7;114;1588
338;1291;2016-05-22T21:04:25.000Z;180;23;0;203;898;172;0;1070
339;1291;2016-06-20T02:46:58.000Z;321;27;15;363;1602;202;122;1926
340;1291;2016-07-19T05:20:11.000Z;297;21;6;324;1482;157;49;1688
341;1291;2016-08-18T08:06:24.000Z;302;62;8;372;1507;464;65;2036
342;1291;2016-09-17T11:33:53.000Z;291;14;28;333;1452;105;227;1784
343;1291;2016-10-17T08:46:25.000Z;295;27;28;350;1472;202;227;1902
344;1291;2016-11-16T19:32:02.000Z;305;40;7;352;1522;300;57;1878
345;1291;2016-12-15T09:24:19.000Z;284;25;64;373;1417;187;520;2124
346;1301;2013-12-08T07:05:07.000Z;85;89;32;206;424;667;260;1351
347;1301;2014-01-07T01:37:17.000Z;198;40;3;241;988;300;24;1312
348;1301;2014-02-05T14:07:38.000Z;188;33;33;254;938;247;268;1453
349;1301;2014-03-06T13:40:13.000Z;111;25;29;165;554;187;235;977
